Datetime,Day,Month,Hour,Year,Dual Fuel_Gen_MW,Hydro_Gen_MW,Natural Gas_Gen_MW,Nuclear_Gen_MW,Other Fossil Fuels_Gen_MW,Solar_Gen_MW,Wind_Gen_MW
2022-01-01 00:00:00,1.0,1.0,0.0,2022.0,29794.0,27403.0,21335.0,36700.0,33.0,2645.0,8080.0
2022-01-01 01:00:00,1.0,1.0,1.0,2022.0,28523.0,28414.0,21392.0,40031.0,36.0,2922.0,9891.0
2022-01-01 02:00:00,1.0,1.0,2.0,2022.0,27699.0,28854.0,21776.0,40024.0,36.0,2906.0,7843.0
2022-01-01 03:00:00,1.0,1.0,3.0,2022.0,26788.0,29620.0,20171.0,40012.0,36.0,2890.0,8555.0
2022-01-01 04:00:00,1.0,1.0,4.0,2022.0,27341.0,30051.0,22813.0,40005.0,36.0,2878.0,8223.0
2022-01-01 05:00:00,1.0,1.0,5.0,2022.0,28097.0,30142.0,23292.0,39985.0,36.0,2911.0,8363.0
2022-01-01 06:00:00,1.0,1.0,6.0,2022.0,29261.0,35291.0,22722.0,40003.0,36.0,2888.0,8420.0
2022-01-01 07:00:00,1.0,1.0,7.0,2022.0,29876.0,36976.0,22704.0,39995.0,36.0,2897.0,8268.0
2022-01-01 08:00:00,1.0,1.0,8.0,2022.0,29914.0,40328.0,23206.0,39978.0,36.0,2898.0,9291.0
2022-01-01 09:00:00,1.0,1.0,9.0,2022.0,32663.0,41456.0,24197.0,39983.0,36.0,2916.0,7703.0
2022-01-01 10:00:00,1.0,1.0,10.0,2022.0,36921.0,42932.0,29448.0,39962.0,36.0,2902.0,4810.0
2022-01-01 11:00:00,1.0,1.0,11.0,2022.0,38588.0,42994.0,30039.0,39964.0,36.0,2992.0,2945.0
2022-01-01 12:00:00,1.0,1.0,12.0,2022.0,39025.0,43038.0,31127.0,39959.0,36.0,2943.0,2095.0
2022-01-01 13:00:00,1.0,1.0,13.0,2022.0,39811.0,44008.0,30841.0,39993.0,36.0,2897.0,1307.0
2022-01-01 14:00:00,1.0,1.0,14.0,2022.0,40189.0,43448.0,28135.0,39984.0,36.0,2829.0,1103.0
2022-01-01 15:00:00,1.0,1.0,15.0,2022.0,38086.0,43192.0,29369.0,40007.0,36.0,2828.0,918.0
2022-01-01 16:00:00,1.0,1.0,16.0,2022.0,40672.0,42782.0,31190.0,40001.0,36.0,2855.0,659.0
2022-01-01 17:00:00,1.0,1.0,17.0,2022.0,43477.0,43492.0,30801.0,40006.0,36.0,2918.0,623.0
2022-01-01 18:00:00,1.0,1.0,18.0,2022.0,44762.0,45455.0,30879.0,40006.0,36.0,2904.0,933.0
2022-01-01 19:00:00,1.0,1.0,19.0,2022.0,43251.0,43849.0,32092.0,40011.0,36.0,2921.0,1512.0
2022-01-01 20:00:00,1.0,1.0,20.0,2022.0,40833.0,42801.0,31069.0,40010.0,36.0,2925.0,2141.0
2022-01-01 21:00:00,1.0,1.0,21.0,2022.0,36464.0,41172.0,27259.0,40003.0,36.0,2858.0,2104.0
2022-01-01 22:00:00,1.0,1.0,22.0,2022.0,33872.0,41162.0,26702.0,40011.0,36.0,2855.0,1936.0
2022-01-01 23:00:00,1.0,1.0,23.0,2022.0,31683.0,33825.0,21883.0,40003.0,36.0,2908.0,1811.0
2022-02-01 00:00:00,1.0,2.0,0.0,2022.0,76991.0,32812.0,45793.0,52995.0,48.0,3745.0,8191.0
2022-02-01 01:00:00,1.0,2.0,1.0,2022.0,63612.0,26491.0,38649.0,46359.0,42.0,3261.0,8697.0
2022-02-01 02:00:00,1.0,2.0,2.0,2022.0,53848.0,24447.0,34115.0,39732.0,36.0,2866.0,8195.0
2022-02-01 03:00:00,1.0,2.0,3.0,2022.0,54744.0,25695.0,34331.0,39720.0,36.0,2838.0,8641.0
2022-02-01 04:00:00,1.0,2.0,4.0,2022.0,55798.0,25746.0,34536.0,39721.0,36.0,2869.0,10136.0
2022-02-01 05:00:00,1.0,2.0,5.0,2022.0,61019.0,25660.0,35297.0,39712.0,36.0,2841.0,11328.0
2022-02-01 06:00:00,1.0,2.0,6.0,2022.0,81448.0,42800.0,44502.0,46324.0,188.0,3250.0,12943.0
2022-02-01 07:00:00,1.0,2.0,7.0,2022.0,76231.0,44707.0,39729.0,39708.0,1707.0,2732.0,11689.0
2022-02-01 08:00:00,1.0,2.0,8.0,2022.0,80224.0,41897.0,40018.0,39709.0,738.0,2859.0,11721.0
2022-02-01 09:00:00,1.0,2.0,9.0,2022.0,87203.0,47912.0,45476.0,46326.0,606.0,3477.0,14107.0
2022-02-01 10:00:00,1.0,2.0,10.0,2022.0,64832.0,40076.0,40631.0,39706.0,853.0,3214.0,12284.0
2022-02-01 11:00:00,1.0,2.0,11.0,2022.0,60797.0,36780.0,38538.0,39694.0,232.0,3145.0,12778.0
2022-02-01 12:00:00,1.0,2.0,12.0,2022.0,58562.0,34672.0,32679.0,39675.0,36.0,3136.0,13024.0
2022-02-01 13:00:00,1.0,2.0,13.0,2022.0,68170.0,39797.0,39503.0,46286.0,163.0,3578.0,15881.0
2022-02-01 14:00:00,1.0,2.0,14.0,2022.0,58863.0,34457.0,34577.0,39660.0,1203.0,3101.0,12216.0
2022-02-01 15:00:00,1.0,2.0,15.0,2022.0,60124.0,37537.0,35292.0,39655.0,162.0,2998.0,13157.0
2022-02-01 16:00:00,1.0,2.0,16.0,2022.0,65659.0,41953.0,36724.0,39643.0,36.0,2930.0,14157.0
2022-02-01 17:00:00,1.0,2.0,17.0,2022.0,72309.0,43677.0,38749.0,39640.0,648.0,2901.0,16022.0
2022-02-01 18:00:00,1.0,2.0,18.0,2022.0,70709.0,44174.0,40536.0,39644.0,694.0,2781.0,19112.0
2022-02-01 19:00:00,1.0,2.0,19.0,2022.0,69081.0,41556.0,39384.0,39658.0,36.0,2790.0,18588.0
2022-02-01 20:00:00,1.0,2.0,20.0,2022.0,73076.0,47807.0,43261.0,46276.0,42.0,3269.0,23481.0
2022-02-01 21:00:00,1.0,2.0,21.0,2022.0,59053.0,37525.0,34323.0,39667.0,36.0,2822.0,18417.0
2022-02-01 22:00:00,1.0,2.0,22.0,2022.0,52945.0,32816.0,32319.0,39675.0,36.0,2769.0,17173.0
2022-02-01 23:00:00,1.0,2.0,23.0,2022.0,48647.0,29445.0,31087.0,39675.0,36.0,2819.0,17950.0
2022-03-01 00:00:00,1.0,3.0,0.0,2022.0,46768.0,36957.0,37840.0,37758.0,36.0,3032.0,6411.0
2022-03-01 01:00:00,1.0,3.0,1.0,2022.0,44733.0,36937.0,38014.0,37757.0,36.0,3005.0,8024.0
2022-03-01 02:00:00,1.0,3.0,2.0,2022.0,43161.0,36508.0,37230.0,37759.0,36.0,2990.0,9541.0
2022-03-01 03:00:00,1.0,3.0,3.0,2022.0,39835.0,34885.0,36380.0,37741.0,36.0,2998.0,10787.0
2022-03-01 04:00:00,1.0,3.0,4.0,2022.0,41929.0,35495.0,37062.0,37729.0,36.0,2956.0,12053.0
2022-03-01 05:00:00,1.0,3.0,5.0,2022.0,45910.0,36689.0,39023.0,37716.0,36.0,3031.0,13536.0
2022-03-01 06:00:00,1.0,3.0,6.0,2022.0,59134.0,38032.0,40155.0,37708.0,36.0,2973.0,13628.0
2022-03-01 07:00:00,1.0,3.0,7.0,2022.0,57262.0,38834.0,39706.0,37730.0,36.0,3007.0,14842.0
2022-03-01 08:00:00,1.0,3.0,8.0,2022.0,62061.0,39282.0,41110.0,37727.0,36.0,3039.0,14611.0
2022-03-01 09:00:00,1.0,3.0,9.0,2022.0,62760.0,39531.0,39676.0,37740.0,36.0,3133.0,13719.0
2022-03-01 10:00:00,1.0,3.0,10.0,2022.0,64354.0,40032.0,38011.0,37730.0,36.0,3079.0,12375.0
2022-03-01 11:00:00,1.0,3.0,11.0,2022.0,62241.0,40128.0,37760.0,37732.0,36.0,3104.0,12854.0
2022-03-01 12:00:00,1.0,3.0,12.0,2022.0,58096.0,41483.0,37114.0,37714.0,36.0,3141.0,12764.0
2022-03-01 13:00:00,1.0,3.0,13.0,2022.0,51484.0,41268.0,36544.0,37699.0,36.0,3217.0,13100.0
2022-03-01 14:00:00,1.0,3.0,14.0,2022.0,48842.0,40792.0,36358.0,37698.0,120.0,3124.0,13655.0
2022-03-01 15:00:00,1.0,3.0,15.0,2022.0,52226.0,40133.0,36283.0,37717.0,542.0,3073.0,10380.0
2022-03-01 16:00:00,1.0,3.0,16.0,2022.0,62888.0,39835.0,36254.0,37727.0,36.0,3048.0,8544.0
2022-03-01 17:00:00,1.0,3.0,17.0,2022.0,66808.0,40073.0,38585.0,37730.0,107.0,3060.0,8088.0
2022-03-01 18:00:00,1.0,3.0,18.0,2022.0,69775.0,41975.0,39769.0,37727.0,489.0,3057.0,6582.0
2022-03-01 19:00:00,1.0,3.0,19.0,2022.0,68378.0,43220.0,37072.0,37743.0,36.0,3074.0,6734.0
2022-03-01 20:00:00,1.0,3.0,20.0,2022.0,63082.0,43478.0,35546.0,37747.0,36.0,3058.0,7069.0
2022-03-01 21:00:00,1.0,3.0,21.0,2022.0,54921.0,41030.0,34825.0,37748.0,36.0,3073.0,8263.0
2022-03-01 22:00:00,1.0,3.0,22.0,2022.0,44124.0,40328.0,34437.0,37746.0,36.0,3077.0,9069.0
2022-03-01 23:00:00,1.0,3.0,23.0,2022.0,38690.0,39030.0,34144.0,37741.0,36.0,3035.0,8270.0
2022-04-01 00:00:00,1.0,4.0,0.0,2022.0,37173.0,37000.0,23309.0,40016.0,36.0,3216.0,15143.0
2022-04-01 01:00:00,1.0,4.0,1.0,2022.0,34661.0,38133.0,21904.0,39971.0,36.0,3217.0,14320.0
2022-04-01 02:00:00,1.0,4.0,2.0,2022.0,32650.0,38564.0,20070.0,39959.0,36.0,3215.0,13432.0
2022-04-01 03:00:00,1.0,4.0,3.0,2022.0,32723.0,40529.0,20249.0,39973.0,36.0,3234.0,11185.0
2022-04-01 04:00:00,1.0,4.0,4.0,2022.0,33989.0,39583.0,22021.0,39934.0,36.0,3227.0,10583.0
2022-04-01 05:00:00,1.0,4.0,5.0,2022.0,36934.0,42173.0,24766.0,39957.0,36.0,3183.0,8480.0
2022-04-01 06:00:00,1.0,4.0,6.0,2022.0,42078.0,39472.0,30269.0,39910.0,36.0,3165.0,7787.0
2022-04-01 07:00:00,1.0,4.0,7.0,2022.0,48398.0,48643.0,33688.0,43189.0,39.0,3477.0,8551.0
2022-04-01 08:00:00,1.0,4.0,8.0,2022.0,60529.0,62507.0,43945.0,52120.0,557.0,4282.0,11751.0
2022-04-01 09:00:00,1.0,4.0,9.0,2022.0,48539.0,46776.0,35837.0,36720.0,206.0,3284.0,9761.0
2022-04-01 10:00:00,1.0,4.0,10.0,2022.0,44360.0,45804.0,35016.0,37157.0,36.0,3431.0,11553.0
2022-04-01 11:00:00,1.0,4.0,11.0,2022.0,45008.0,43517.0,34061.0,37720.0,36.0,3316.0,14779.0
2022-04-01 12:00:00,1.0,4.0,12.0,2022.0,44377.0,38781.0,34534.0,37974.0,36.0,3310.0,15559.0
2022-04-01 13:00:00,1.0,4.0,13.0,2022.0,44063.0,40673.0,35499.0,38304.0,36.0,3350.0,16302.0
2022-04-01 14:00:00,1.0,4.0,14.0,2022.0,41947.0,41676.0,34853.0,38613.0,36.0,3260.0,16844.0
2022-04-01 15:00:00,1.0,4.0,15.0,2022.0,41823.0,42616.0,35069.0,38675.0,36.0,3411.0,17948.0
2022-04-01 16:00:00,1.0,4.0,16.0,2022.0,55064.0,51312.0,40402.0,45279.0,573.0,3679.0,20302.0
2022-04-01 17:00:00,1.0,4.0,17.0,2022.0,44538.0,43977.0,34547.0,38973.0,879.0,3161.0,17800.0
2022-04-01 18:00:00,1.0,4.0,18.0,2022.0,44468.0,41025.0,35942.0,39149.0,70.0,3139.0,20093.0
2022-04-01 19:00:00,1.0,4.0,19.0,2022.0,48168.0,39894.0,36378.0,39368.0,36.0,3093.0,19933.0
