name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york state,2021-01-30,-2.3,-11.5,-7.5,-2.3,-15.7,-10.2,-11.6,73.1,0,0,0,,0.4,8.5,,14.8,279,1028.2,65.9,14.2,70.3,6.1,4,,2021-01-30T07:31:42,2021-01-30T17:25:53,0.52,Partially cloudy,Partly cloudy throughout the day.,snow,"71752099999,72528014733,KGVQ,KIAG,E5040,72528704724,KBUF,F3072"
new york state,2021-01-31,-2.9,-10.7,-6.1,-10,-16.9,-13.3,-11.5,66.3,0,0,0,,0,8.2,46.4,32.7,70.6,1021.7,89.5,16,68.3,6,3,,2021-01-31T07:30:40,2021-01-31T17:27:13,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-01,-3.4,-5.6,-4.5,-9,-13.3,-11.2,-8.1,76.1,1.893,100,54.17,snow,1.1,8.1,38.9,30.5,49.8,1017.5,99.8,9.5,45.3,3.8,2,,2021-02-01T07:29:37,2021-02-01T17:28:33,0.59,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-02,-0.7,-7.1,-4,-3.8,-12,-9.3,-7.3,77.7,2.587,100,33.33,"rain,snow",2.3,9.8,42.5,23.8,345.6,1011.5,95.4,12,53.3,4.5,2,,2021-02-02T07:28:32,2021-02-02T17:29:53,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-03,0.6,-5.7,-2.6,-4.8,-13.1,-8.6,-9,62.5,0.002,100,4.17,snow,1,11.6,45.4,30.5,312.4,1010.1,32.3,16,84.1,7.1,6,,2021-02-03T07:27:25,2021-02-03T17:31:13,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-04,2.9,-6.9,-2,1.7,-10.9,-6.3,-7.5,67.6,0,0,0,,0,10.5,,23.3,212.1,1012.5,37.2,16,106.5,9.1,7,,2021-02-04T07:26:16,2021-02-04T17:32:33,0.74,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-05,3.6,-4.6,-1.1,-0.8,-12.6,-8.4,-5.5,72.3,2.152,100,62.5,"rain,snow",4.4,10.2,73.7,47.7,229.6,1000.6,96.6,13.1,70.1,5.9,5,,2021-02-05T07:25:06,2021-02-05T17:33:53,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-06,-3.4,-9.4,-6.3,-10.9,-16.1,-14,-10.5,72.7,1.575,100,37.5,snow,6.5,16.5,65.7,39.3,242.8,1013.8,85.1,6.8,46.4,4.1,2,,2021-02-06T07:23:54,2021-02-06T17:35:13,0.85,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-07,-5.2,-12.9,-8.9,-6.7,-21.9,-15.4,-14.6,63.7,1.071,100,20.83,snow,2.3,20.5,45.9,33.7,255,1017.8,64.6,13.8,112.3,9.6,8,,2021-02-07T07:22:41,2021-02-07T17:36:33,0.9,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-08,-6.2,-13.5,-9.6,-7.3,-21.9,-14.4,-14.9,66,0.493,100,4.17,snow,2,18,27.7,22.4,244.2,1027.6,67.6,14.3,105.6,9,6,,2021-02-08T07:21:26,2021-02-08T17:37:53,0.94,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-09,-3.5,-8.4,-6.6,-7.1,-15.8,-10.7,-9.9,77.5,2.063,100,37.5,snow,1.2,19.9,,21.6,308.5,1025,92.2,10.1,27.8,2.2,1,,2021-02-09T07:20:09,2021-02-09T17:39:13,0.97,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-10,-6.2,-13,-8.5,-6.8,-18.6,-13.1,-13.7,66.1,0,0,0,,0,19.6,,21.9,253.9,1028,60.3,16,96.1,8.2,5,,2021-02-10T07:18:52,2021-02-10T17:40:33,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-11,-4,-11.3,-6.6,-6.8,-14.7,-10.3,-12.4,63.9,0,0,0,,0,19.1,,14.9,310.3,1028,76.2,14.9,81,6.9,3,,2021-02-11T07:17:32,2021-02-11T17:41:52,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-12,-6.3,-12.2,-9.2,-9.9,-18.2,-15.3,-14,68.5,0,0,0,,0,17.9,31.7,23.5,64.1,1029,83.9,15.9,108.4,9.2,5,,2021-02-12T07:16:12,2021-02-12T17:43:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
